title,date,reference,url,calificacion,precio,contains,ciudad
Aparta estudio en Chapinero,14 jun. – 18 jun.,Apartamento entero en Bogotá,https://www.airbnb.com.co/rooms/48643270?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=026585ab-91ee-4ebe-9439-4444acd1f763,,51392,"2 huéspedes,1 habitación,1 cama,1 baño,Wifi,Cocina,Lavadora",Bogotá
C- ★72 HUB★One Bedroom★ Monthly Discount ★By Jalo★,14 jun. – 18 jun.,Apartamento entero en Bogotá,https://www.airbnb.com.co/rooms/33186477?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=026585ab-91ee-4ebe-9439-4444acd1f763,"4.68,434",118000,"2 huéspedes,1 habitación,2 camas,1 baño,Wifi,Cocina,Lavadora,Estacionamiento gratuito",Bogotá
A| Downtown | Monthly Discount | Stylish | By Jalo,14 jun. – 18 jun.,Apartamento entero en Bogotá,https://www.airbnb.com.co/rooms/47596333?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=026585ab-91ee-4ebe-9439-4444acd1f763,"4.94,17",90500,"2 huéspedes,1 habitación,1 cama,1 baño,Wifi,Cocina,Lavadora",Bogotá
Acogedor apartaestudio al lado de la Zona G,14 jun. – 18 jun.,Apartamento entero en Bogotá,https://www.airbnb.com.co/rooms/28029573?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=026585ab-91ee-4ebe-9439-4444acd1f763,"4.81,210",84729,"2 huéspedes,Estudio,1 cama,1,5 baños,Wifi,Cocina",Bogotá
Espectacular y lujoso aparta estudio.,14 jun. – 18 jun.,Apartamento entero en Bogotá,https://www.airbnb.com.co/rooms/45597369?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=026585ab-91ee-4ebe-9439-4444acd1f763,"4.75,4",73032,"2 huéspedes,Estudio,1 cama,1 baño,Wifi,Cocina,Lavadora",Bogotá
"Apto nuevo Chapinero, excelente ubicación y acceso",14 jun. – 18 jun.,Apartamento entero en Bogotá,https://www.airbnb.com.co/rooms/43415675?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=026585ab-91ee-4ebe-9439-4444acd1f763,"4.92,76",125562,"3 huéspedes,1 habitación,1 cama,1,5 baños,Wifi,Cocina,Lavadora,Estacionamiento gratuito",Bogotá
Espectacular Apartamentocentro Excelente ubicación,14 jun. – 18 jun.,Apartamento entero en Bogotá,https://www.airbnb.com.co/rooms/48352437?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=026585ab-91ee-4ebe-9439-4444acd1f763,,77390,"2 huéspedes,1 habitación,0 camas,1 baño,Wifi,Cocina,Estacionamiento gratuito",Bogotá
"Super apartamento, comodo y bien ubicado Corferias",14 jun. – 18 jun.,Apartamento entero en Bogotá,https://www.airbnb.com.co/rooms/47564635?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=026585ab-91ee-4ebe-9439-4444acd1f763,"5.0,6",70080,"2 huéspedes,1 habitación,2 camas,1,5 baños,Wifi,Cocina,Lavadora",Bogotá
"""Hotspot"" The Candelaria Neighborhood!!!",14 jun. – 18 jun.,Apartamento entero en Bogotá,https://www.airbnb.com.co/rooms/48627634?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=026585ab-91ee-4ebe-9439-4444acd1f763,,81879,"2 huéspedes,1 habitación,1 cama,1 baño,Wifi,Cocina,Lavadora",Bogotá
STUDIO ESTILO FLAMANTE Y RENOVADO EN CHAPINERO,14 jun. – 18 jun.,Apartamento entero en Bogotá,https://www.airbnb.com.co/rooms/32308869?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=026585ab-91ee-4ebe-9439-4444acd1f763,"4.39,80",57049,"2 huéspedes,1 habitación,1 cama,1 baño,Wifi,Cocina",Bogotá
"SUPER LOFT PISO 14, CENTRO INTERNACIONAL.",14 jun. – 18 jun.,Apartamento entero en Bogotá,https://www.airbnb.com.co/rooms/31957734?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=026585ab-91ee-4ebe-9439-4444acd1f763,"4.80,141",91228,"2 huéspedes,1 habitación,1 cama,1 baño,Wifi,Cocina",Bogotá
"Super central, agradable y completo, cerca a todo.",14 jun. – 18 jun.,Conjunto residencial entero en Bogotá,https://www.airbnb.com.co/rooms/47785510?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=026585ab-91ee-4ebe-9439-4444acd1f763,"4.60,5",73256,"2 huéspedes,1 habitación,2 camas,1 baño,Wifi,Cocina,Estacionamiento gratuito",Bogotá
"Bespoke design, unique location, 753 Sq ft Suite",14 jun. – 18 jun.,Conjunto residencial entero en Bogotá,https://www.airbnb.com.co/rooms/42413441?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=026585ab-91ee-4ebe-9439-4444acd1f763,"4.96,50",242471,"2 huéspedes,1 habitación,1 cama,2,5 baños,Wifi,Cocina,Lavadora,Estacionamiento gratuito",Bogotá
Ilumindo & Central*Protocols*Teusaquilo*TEQUENDAMA,14 jun. – 18 jun.,Apartamento entero en Bogotá,https://www.airbnb.com.co/rooms/48609956?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=026585ab-91ee-4ebe-9439-4444acd1f763,,68419,"2 huéspedes,1 habitación,1 cama,1 baño,Wifi,Cocina,Lavadora",Bogotá
BRAND NEW!DUPLEX & MINIMALIST DESIGN/MODERN/2BEDS/,14 jun. – 18 jun.,Apartamento entero en Bogotá,https://www.airbnb.com.co/rooms/47940680?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=026585ab-91ee-4ebe-9439-4444acd1f763,,85993,"4 huéspedes,2 habitaciones,2 camas,2 baños,Wifi,Cocina",Bogotá
Apartaestudio excelente ubicación,14 jun. – 18 jun.,Loft entero en Bogotá,https://www.airbnb.com.co/rooms/48067682?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=026585ab-91ee-4ebe-9439-4444acd1f763,"5.0,5",82600,"2 huéspedes,1 habitación,1 cama,1 baño,Wifi,Cocina,Lavadora",Bogotá
apartamento-altillo  chapinero facil acceso,14 jun. – 18 jun.,Apartamento entero en Bogotá,https://www.airbnb.com.co/rooms/40428946?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=026585ab-91ee-4ebe-9439-4444acd1f763,"4.95,21",66584,"3 huéspedes,1 habitación,0 camas,1 baño,Wifi,Cocina,Lavadora",Bogotá
Apto piso 27 en el edificio más alto de Bogotá,14 jun. – 18 jun.,Loft entero en Bogotá,https://www.airbnb.com.co/rooms/40111850?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=026585ab-91ee-4ebe-9439-4444acd1f763,"4.81,59",109556,"3 huéspedes,1 habitación,3 camas,1 baño,Wifi,Cocina",Bogotá
Cozy and beatiful apartment in Chapinero,14 jun. – 18 jun.,Casa entera en Bogotá,https://www.airbnb.com.co/rooms/42763866?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=026585ab-91ee-4ebe-9439-4444acd1f763,"5.0,4",83020,"3 huéspedes,2 habitaciones,2 camas,1 baño,Wifi,Cocina,Lavadora",Bogotá
Apto gran ubicación cerca terminal aéreo-terrestre,14 jun. – 18 jun.,Loft entero en Bogotá,https://www.airbnb.com.co/rooms/41683965?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=026585ab-91ee-4ebe-9439-4444acd1f763,"4.87,68",71634,"4 huéspedes,1 habitación,2 camas,1 baño,Wifi,Cocina",Bogotá
Gorgeous Apt in Cartagena's Historic Walled City,14 jun. – 18 jun.,Apartamento entero en Cartagena,https://www.airbnb.com.co/rooms/48628712?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=1ff299ac-13a9-4e23-af90-8c45e76bf387,,293680,"4 huéspedes,2 habitaciones,4 camas,2 baños,Wifi,Aire acondicionado,Cocina",Cartagena
Jewel in a XVII Century Mansion at the Walled City,14 jun. – 18 jun.,Loft entero en Cartagena,https://www.airbnb.com.co/rooms/43342671?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=1ff299ac-13a9-4e23-af90-8c45e76bf387,"5.0,12",212400,"4 huéspedes,Estudio,3 camas,1 baño,Wifi,Aire acondicionado,Cocina",Cartagena
#suite #morroscity #piscina #jacuzzi #wifi #plus,14 jun. – 18 jun.,Conjunto residencial entero en Cartagena,https://www.airbnb.com.co/rooms/46527006?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=1ff299ac-13a9-4e23-af90-8c45e76bf387,"5.0,8",233600,"2 huéspedes,1 habitación,2 camas,3,5 baños,Wifi,Aire acondicionado,Piscina,Cocina",Cartagena
"Private room! B/room inside, AC, TV, WIFI, Kitchen",14 jun. – 18 jun.,Habitación privada en Cartagena,https://www.airbnb.com.co/rooms/37051579?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=1ff299ac-13a9-4e23-af90-8c45e76bf387,"4.80,61",60736,"2 huéspedes,1 habitación,1 cama,1 baño privado,Wifi,Aire acondicionado,Cocina",Cartagena
Acogedor apto con vista en primera línea al mar,14 jun. – 18 jun.,Conjunto residencial entero en Cartagena,https://www.airbnb.com.co/rooms/42695315?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=1ff299ac-13a9-4e23-af90-8c45e76bf387,"5.0,6",168413,"4 huéspedes,1 habitación,3 camas,1 baño,Wifi,Aire acondicionado,Cocina",Cartagena
Tu Hogar en la Fantastica.,14 jun. – 18 jun.,Habitación privada en Cartagena,https://www.airbnb.com.co/rooms/48600647?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=1ff299ac-13a9-4e23-af90-8c45e76bf387,,75920,"2 huéspedes,1 habitación,1 cama,2 baños,Wifi,Aire acondicionado,Piscina,Cocina",Cartagena
Cartagena más cerca y económica/Enjoy  Cartagena,14 jun. – 18 jun.,Apartamento entero en Cartagena,https://www.airbnb.com.co/rooms/46876969?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=1ff299ac-13a9-4e23-af90-8c45e76bf387,"5.0,3",51566,"2 huéspedes,1 habitación,2 camas,1 baño,Wifi,Aire acondicionado,Cocina",Cartagena
hab. privada Casa Colonial jacuzzi y vista Bahía,14 jun. – 18 jun.,Habitación privada en Cartagena,https://www.airbnb.com.co/rooms/47170778?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=1ff299ac-13a9-4e23-af90-8c45e76bf387,"4.91,11",171988,"2 huéspedes,1 habitación,1 cama,1 baño privado,Wifi,Aire acondicionado,Cocina",Cartagena
A Gem In Getsemani,14 jun. – 18 jun.,Habitación privada en Cartagena,https://www.airbnb.com.co/rooms/41179069?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=1ff299ac-13a9-4e23-af90-8c45e76bf387,"4.0,5",61343,"2 huéspedes,1 habitación,1 cama,1 baño privado,Wifi,Aire acondicionado",Cartagena
"Suite 3 en Bocagrande, Cerca de todo.",14 jun. – 18 jun.,Habitación privada en Cartagena,https://www.airbnb.com.co/rooms/37930851?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=1ff299ac-13a9-4e23-af90-8c45e76bf387,"4.45,33",88650,"2 huéspedes,1 habitación,1 cama,1 baño privado,Wifi,Aire acondicionado,Cocina",Cartagena
"La Terraza de Estella, habitacíon doble con balcon",14 jun. – 18 jun.,Habitación privada en Cartagena,https://www.airbnb.com.co/rooms/28096278?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=1ff299ac-13a9-4e23-af90-8c45e76bf387,"4.83,42",59568,"2 huéspedes,1 habitación,1 cama,1 baño compartido,Wifi,Aire acondicionado,Cocina",Cartagena
"Suite 7 en Bocagrande, Cerca de todo.",14 jun. – 18 jun.,Apartamento entero en Cartagena,https://www.airbnb.com.co/rooms/42449035?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=1ff299ac-13a9-4e23-af90-8c45e76bf387,"4.50,30",100120,"4 huéspedes,1 habitación,3 camas,1 baño,Wifi,Aire acondicionado,Cocina",Cartagena
Standard Double Room With Fan,14 jun. – 18 jun.,Habitación privada en Cartagena,https://www.airbnb.com.co/rooms/33244376?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=1ff299ac-13a9-4e23-af90-8c45e76bf387,"4.75,73",37682,"2 huéspedes,1 habitación,1 cama,2 baños compartidos,Wifi,Cocina",Cartagena
Hollywood Beach Suite 310,14 jun. – 18 jun.,Apartamento entero en Cartagena,https://www.airbnb.com.co/rooms/45531811?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=1ff299ac-13a9-4e23-af90-8c45e76bf387,"4.20,5",107816,"3 huéspedes,Estudio,1 cama,1 baño,Wifi,Aire acondicionado,Cocina",Cartagena
Apartamento 912 en alquiler,14 jun. – 18 jun.,Apartamento entero en Cartagena,https://www.airbnb.com.co/rooms/17675012?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=1ff299ac-13a9-4e23-af90-8c45e76bf387,"4.62,79",129950,"4 huéspedes,1 habitación,4 camas,1 baño,Wifi,Aire acondicionado,Piscina,Cocina",Cartagena
Studio apartment on laguito,14 jun. – 18 jun.,Apartamento entero en Cartagena,https://www.airbnb.com.co/rooms/4823565?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=1ff299ac-13a9-4e23-af90-8c45e76bf387,"4.64,240",128480,"3 huéspedes,Estudio,3 camas,1 baño,Wifi,Aire acondicionado,Piscina,Cocina",Cartagena
Cartagena Laguito Apto 1 hab. para 4 personas,14 jun. – 18 jun.,Conjunto residencial entero en Cartagena,https://www.airbnb.com.co/rooms/41399993?adults=2&check_in=2021-06-14&check_out=2021-06-18&previous_page_section_name=1000&federated_search_id=1ff299ac-13a9-4e23-af90-8c45e76bf387,"4.65,34",124684,"4 huéspedes,1 habitación,2 camas,1 baño,Wifi,Aire acondicionado,Piscina,Cocina",Cartagena
