title,checkin,checkout,reference,url,calificacion,precio,contains,ciudad
APT MISS ADA su mejor opcion para sentirse en casa,2020-07-12,2020-07-19,Apartamento entero en San Andrés,https://www.airbnb.com.co/rooms/21425498?adults=2&previous_page_section_name=1000&federated_search_id=9baadf66-dba2-4568-b3b3-f3b9c93ba0a3,"4.76,137",100000,"6 huéspedes,1 habitación,5 camas,1 baño,Aire acondicionado,Cocina",San Andres
Apartamento gaviotas 3.,2020-07-12,2020-07-19,Apartamento entero en San Andrés,https://www.airbnb.com.co/rooms/21868745?adults=2&previous_page_section_name=1000&federated_search_id=9baadf66-dba2-4568-b3b3-f3b9c93ba0a3,"4.36,22",60000,"2 huéspedes,1 habitación,1 cama,0 baños,Aire acondicionado,Wifi",San Andres
201 Hermoso apartamento San Andrés Isla,2020-07-12,2020-07-19,Apartamento entero en San Andrés,https://www.airbnb.com.co/rooms/47702522?adults=2&previous_page_section_name=1000&federated_search_id=9baadf66-dba2-4568-b3b3-f3b9c93ba0a3,"4.50,8",102857,"6 huéspedes,2 habitaciones,3 camas,1 baño,Aire acondicionado,Cocina",San Andres
Departamento con Vista al Mar,2020-07-12,2020-07-19,Habitación privada en San Andrés,https://www.airbnb.com.co/rooms/16202354?adults=2&previous_page_section_name=1000&federated_search_id=9baadf66-dba2-4568-b3b3-f3b9c93ba0a3,"4.29,24",214286,"5 huéspedes,1 habitación,2 camas,1 baño compartido,Aire acondicionado,Cocina,Wifi",San Andres
Apartamento #2 deluxe,2020-07-12,2020-07-19,Habitación privada en San Andrés,https://www.airbnb.com.co/rooms/47441772?adults=2&previous_page_section_name=1000&federated_search_id=9baadf66-dba2-4568-b3b3-f3b9c93ba0a3,,51429,"4 huéspedes,1 habitación,3 camas,1 baño privado,Aire acondicionado,Cocina",San Andres
"Posada Stefanigb
apartamento #1",2020-07-12,2020-07-19,Habitación privada en San Andrés,https://www.airbnb.com.co/rooms/47134162?adults=2&previous_page_section_name=1000&federated_search_id=9baadf66-dba2-4568-b3b3-f3b9c93ba0a3,"4.75,4",68571,"4 huéspedes,1 habitación,3 camas,1 baño compartido,Aire acondicionado,Cocina",San Andres
Posada Omi Place - Habitación Dulce sueños,2020-07-12,2020-07-19,Habitación privada en San Andres Isla,https://www.airbnb.com.co/rooms/35643232?adults=2&previous_page_section_name=1000&federated_search_id=9baadf66-dba2-4568-b3b3-f3b9c93ba0a3,"4.63,24",70000,"2 huéspedes,Estudio,1 cama,1 baño privado,Aire acondicionado,Wifi",San Andres
Apartamento Amoblado precio incluye 2 personas.,2020-07-12,2020-07-19,Apartamento entero en San Andrés,https://www.airbnb.com.co/rooms/47857813?adults=2&previous_page_section_name=1000&federated_search_id=9baadf66-dba2-4568-b3b3-f3b9c93ba0a3,"5.0,4",120714,"3 huéspedes,1 habitación,2 camas,1 baño,Aire acondicionado",San Andres
Hab. privada cerca a playa principal y aeropuerto,2020-07-12,2020-07-19,Habitación privada en San Andrés,https://www.airbnb.com.co/rooms/9052656?adults=2&previous_page_section_name=1000&federated_search_id=9baadf66-dba2-4568-b3b3-f3b9c93ba0a3,"4.64,153",110000,"2 huéspedes,1 habitación,1 cama,1 baño privado,Aire acondicionado,Cocina,Wifi",San Andres
habitacion privada #2,2020-07-12,2020-07-19,Habitación privada en San Andrés,https://www.airbnb.com.co/rooms/16658697?adults=2&previous_page_section_name=1000&federated_search_id=9baadf66-dba2-4568-b3b3-f3b9c93ba0a3,"4.86,174",65000,"2 huéspedes,1 habitación,1 cama,1 baño privado,Aire acondicionado,Cocina",San Andres
Tu Hogar en la Fantastica.,2020-07-12,2020-07-19,Habitación privada en Cartagena,https://www.airbnb.com.co/rooms/48600647?adults=2&previous_page_section_name=1000&federated_search_id=946398cc-d9f9-4b0b-921d-772b1e6a5fb7,,45000,"2 huéspedes,1 habitación,1 cama,2 baños,Wifi,Aire acondicionado,Piscina,Cocina",Cartagena
APARTAMENTO ENTERO !!! CAPACIDAD 7 PERSONAS.,2020-07-12,2020-07-19,Apartamento entero en San Andrés,https://www.airbnb.com.co/rooms/24890340?adults=2&previous_page_section_name=1000&federated_search_id=9baadf66-dba2-4568-b3b3-f3b9c93ba0a3,"4.67,22",85000,"7 huéspedes,2 habitaciones,7 camas,1 baño,Aire acondicionado,Cocina",San Andres
